stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
injection	1.n. 注射；注射剂；充血；射入轨道 
delicate	1.adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的 
Egyptians	1.n. 埃及人 2.与古埃及相关的 3.古埃及人 4.埃及文化的 
Argentines	1.银（argentine的名词复数） 2.银色素 3.银色工艺材料 
tissues	1.n. [组织] 组织，薄的纱织品；面巾纸（tissue的复数） 
Religion	1.n. 宗教；宗教信仰 
nicotine	1.n. [有化] 尼古丁；[有化] 烟碱 
landmark	1.n. [航]陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事 2.adj. 有重大意义或影响的 3.n. （瑞典、挪）兰德马克（人名） 
nod	1.n. 点头；打盹；摆动 2.vt. 点头；点头表示 3.vi. 点头；打盹；摆动 
seeds	1.n. 种子；种子选手（seed的复数）；种子状物；子孙后代 2.v. 播种；取出…的核；催化（seed的第三人称单数） 3.n. (Seeds)人名；(英)西兹 
Seattle	1.n. 西雅图（美国一港市） 
Rosetta	1.n. 罗塞塔（城市名） 
vested	1.v. （财产、权利等）授予（vest的过去式和过去分词）；使穿衣服 2.adj. 既定的；穿着衣服（尤指祭服）的；（美）带背心的（指西服套装） 
wreck	1.n. 破坏；失事；残骸；失去健康的人 2.vt. 破坏；使失事；拆毁 3.vi. 失事；营救失事船只 
bloc	1.n. 集团 2.n. (Bloc)人名；(法、罗)布洛克 
spells	1.n. 符咒；魅力（spell的复数）；一段时间 2.v. 拼写（spell的第三人称单数） 
correctly	1.adv. 正确地；得体地 
implicit	1.adj. 含蓄的；暗示的；盲从的 
amendment	1.n. 修正案；改善；改正 
fading	1.n. 褪色；衰退；凋谢 2.v. 使衰落（fade的ing形式）；褪色 
Texan	1.n. 得克萨斯州的人 2.adj. 得克萨斯州的；德克萨斯州人的 
integrate	1.n. 一体化；集成体 2.adj. 整合的；完全的 3.vi. 求积分；取消隔离；成为一体 4.vt. 使…完整；使…成整体；求…的积分；表示…的总和 
emotions	1.n. [心理] 情绪；[心理] 情感（emotion的复数形式） 
loom	1.n. 织布机；若隐若现的景象 2.vt. 在织布机上织 3.vi. 可怕地出现；朦胧地出现；隐约可见 4.n. (Loom)人名；(瑞典)洛姆 
aerospace	1.n. 航空宇宙；[航] 航空航天空间 
capped	1.v. 给…戴帽；去蒂；覆以…；除去盖子；胜过（cap的过去分词形式） 2.adj. 包过的；加盖的；去蒂的 
Anthony	1.n. 安东尼（人名） 
startling	1.adj. 令人吃惊的 
quote	1.n. 引用 2.vi. 报价；引用；引证 3.vt. 报价；引述；举证 
exacerbated	1.vt. 加重（病情，痛苦等）；使…恶化；激怒（exacerbate的过去式） 
modelled	1.n. 模范，典型，榜样；模型 2.adj. 模范的，榜样的；用作模型的 3.vt. 做…模型；(用泥、蜡)塑造：；仿特定样式做出，按特定模型制造(或设计)： 
defenders	1.n. 后卫；防御者（defender的复数） 
warriors	1.战士 
mob	1.n. 暴民，暴徒；民众；乌合之众 2.vt. 大举包围，围攻；蜂拥进入 3.vi. 聚众生事，聚众滋事 
fairness	1.n. 公平；美好；清晰；顺利性 
sheets	1.n. [材] 片材，板片（sheet复数）；[纺] 被单 2.v. 覆盖（sheet的第三人称单数形式）；使成大片；铺床单 3.n. (Sheets)人名；(英)希茨 
inspections	1.n. 检查；视察；安全检测（inspection的复数） 
testimony	1.n. [法] 证词，证言；证据 
renewal	1.n. 更新，恢复；复兴；补充；革新；续借；重申 
refineries	1.n. 精炼厂（refinery的复数形式） 
deterred	1.vt. 制止，阻止；使打消念头 2.n. (Deter)人名；(德)德特尔 
bombings	1.n. [军] 轰炸，[军] 投弹 2.v. 轰击；引爆炸弹（bomb的ing形式） 
cheque	1.n. 支票 
compatriots	1.n. 同胞（compatriot复数） 
nostalgia	1.n. 乡愁；怀旧之情；怀乡病 
celebrating	1.v. 庆祝（celebrate的现在分词） 
exacerbate	1.vt. 使加剧；使恶化；激怒 
Mikhail	1.米哈伊尔（人名） 
viral	1.adj. 滤过性毒菌引起的；滤过性毒菌的 
PISA	1.n. 比萨（意大利城市） 
alarmed	1.v. 报警（alarm的过去式及过去分词） 2.adj. 惊恐的；受惊的；焦虑的 
outsider	1.n. 外人；无取胜希望者 
miserable	1.adj. 悲惨的；痛苦的；卑鄙的 
Libyan	1.n. 利比亚人；古代利比亚语 2.adj. 利比亚的；利比亚人的 
bolstered	1.支撑着的（bloster的变体） 2.加固的（bloster的变体） 
Anglo-Saxon	
alienated	1.v. 使疏离（alienate的过去式） 2.adj. 疏远的；被疏远的 
projections	1.n. 预测，推测（projection的复数形式）；[数][测] 投影；发射，规划；突出部分 
bind	1.n. 捆绑；困境；讨厌的事情；植物的藤蔓 2.vt. 绑；约束；装订；包扎；凝固 3.vi. 结合；装订；有约束力；过紧 4.n. (Bind)人名；(德)宾德 
resource	1.n. 资源，财力；办法；智谋 
terrain	
laments	1.n. 挽歌；恸哭；悲痛之情 2.vi. 哀悼；悲叹；悔恨 3.vt. 哀悼；痛惜 4.n. (Lament)人名；(葡)拉门特；(法)拉芒 
breathe	1.vi. 呼吸；低语；松口气；（风）轻拂 2.vt. 呼吸；使喘息；流露；低声说 
Nicholas	1.n. 尼古拉斯（男子名） 
drastically	1.adv. 彻底地；激烈地 
wasteful	1.adj. 浪费的，不经济的；奢侈的 
Ghana	1.n. 加纳（非洲西部国家） 
analyses	1.n. 分析；解析；分解；梗概（analysis的复数形式） 
reflecting	1.v. 反射；表明；考虑（reflect的ing形式） 2.adj. 反射的；沉思的 
Furthermore	1.adv. 此外；而且 
punitive	1.adj. 惩罚性的；刑罚的 
contracted	1.v. 使收缩；订契约（contract的过去式和过去分词） 2.adj. 契约的；收缩了的；狭小的 
uniquely	1.adv. 独特地；珍奇地 
instrument	1.n. 仪器；工具；乐器；手段；器械 
prototype	1.n. 原型；标准，模范 
tunnel	1.n. 隧道；坑道；洞穴通道 2.vt. 挖；在…打开通道；在…挖掘隧道 3.vi. 挖掘隧道；打开通道 
partially	1.adv. 部分地；偏袒地 
downtown	1.n. 市中心区；三分线以外 2.adj. 市中心的 3.adv. 往闹市区；在市区 
fast-food	1.n. 快餐食品 2.adj. 供应快餐的 
Laurent	1.n. 劳伦（法国数学家） 
solved	1.v. 解决（solve的过去式）；解答 2.adj. 解决了的 
nurses	1.n. [医] 护士；褓姆，看护（nurse的复数） 2.v. 护理；细心照看（nurse的第三人称单数） 
Morales	1.n. 莫拉莱斯（人名） 
gripped	1.vt. 紧咬，夹住；紧握（grip过去时形式） 
Aécio	
listings	1.表 
clutch	1.n. 离合器；控制；手；紧急关头 2.vt. 抓住；紧握 3.adj. 没有手提带或背带的；紧要关头的 4.vi. 攫；企图抓住 
simplify	1.vt. 简化；使单纯；使简易 
looser	1.宽松的 2.散漫的 3.不牢固的 4.不精确的（loose的比较级） 5.n. (Looser)人名；(瑞典)洛塞 
Bond	1.n. 债券；结合；约定；粘合剂 2.vt. 使结合；以…作保 3.vi. 结合，团结在一起 4.n. (Bond)人名；(英、德、西、刚(金)、瑞典)邦德 
grabbed	1.v. 攫取；捕获；强夺；匆忙地做（grab的过去分词形式） 
tragic	1.adj. 悲剧的；悲痛的，不幸的 
tank	1.n. 坦克；水槽；池塘 2.vt. 把…贮放在柜内；打败 3.vi. 乘坦克行进 4.n. (Tank)人名；(德、土、阿塞、土库、挪)汤克 
resorted	1.n. 凭借，手段；度假胜地；常去之地 2.vi. 求助，诉诸；常去；采取某手段或方法 
insistence	1.n. 坚持，强调；坚决主张 
Marcus	1.n. [机] 大铁锤 
thwart	1.prep. 横过 2.n. 划手座；独木舟的横梁 3.vt. 挫败；反对；阻碍；横过 4.adj. 横放的；固执的 5.adv. 横过 
Boehner	1.博纳（人名） 
aired	1.通风 2.夸耀 3.晾干（air的过去式和过去分词） 
staggering	1.adj. 蹒跚的；令人惊愕的；犹豫的 2.v. 蹒跚（stagger的ing形式） 
reformer	1.n. 改革家；改革运动者；改良者 
legislatures	1.n. 立法机关（legislature的复数） 
Yudhoyono	
lined	1.v. 排队（line的过去分词）；填满 2.adj. 有内衬的；具线纹的 
embarked	1.vi. 从事，着手；上船或飞机 2.vt. 使从事；使上船 
fend	1.vi. 照料；供养；力争 2.vt. 谋生；保护；挡开；供养 
wondering	1.v. 想知道（wonder的ing形式）；惊奇 2.adj. 疑惑的；觉得奇怪的 
Schmidt	1.n. 施密特（姓氏） 
ERC	1.abbr. 经济研究委员会（Economic Research Council）；电子设备研究中心（Electronic Research Center） 
Bosnia	1.n. 波斯尼亚；波士尼亚 
Vucic	
heels	1.n. 高跟鞋（heel的复数）；脚踝；残余料 2.v. 紧跟；给（鞋等）装跟（heel的三单形式） 
verge	1.n. 边缘 2.vi. 濒临，接近；处在边缘 3.n. (Verge)人名；(英)弗奇；(西)贝尔赫 
optimists	1.n. 乐观主义者；乐天派 
shaky	1.adj. 摇晃的；不可靠的；不坚定的 
containers	1.n. [包装] 容器；[交] 集装箱 
Figures	1.n. 价格，金额，[数] 数字；人物（figure的复数）；[数] 图形，图表；规定动作 2.n. (Figures)人名；(英)菲格斯 
Downing	1.唐宁 
traced	1.v. 追溯（trace的过去分词）；跟踪；摹写 2.adj. 示踪的；摹写的 
imperfect	1.n. 未完成体 2.adj. 有缺点的；未完成的；半过去的；未完成时的 3.adv. 有瑕疵地；有缺点地 
sweat	1.n. 汗；水珠；焦急；苦差使 2.vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待 3.vi. 出汗；辛苦工作；懊恼；结水珠 
infectious	1.adj. 传染的；传染性的；易传染的 
entrance	1.n. 入口；进入 2.vt. 使出神，使入迷 
exporter	1.n. 出口商；输出国 
merchant	1.n. 商人，批发商；店主 2.adj. 商业的，商人的 3.n. (Merchant)人名；(英)麦钱特 
philosophy	1.n. 哲学；哲理；人生观 
Zionist	1.n. 犹太复国主义者 2.adj. 犹太复国主义者的 
Garcia	1.n. 加西亚（姓氏） 
comet	1.n. [天] 彗星 2.n. (Comet)人名；(法)科梅 
mansion	1.n. 大厦；宅邸 2.n. (Mansion)人名；(法)芒雄 
construct	1.n. 构想，概念 2.vt. 建造，构造；创立 
Reforms	1.n. 改革（reform的复数） 2.v. 改革（reform的单数第三人称） 
taxpayer	1.n. 纳税人；所收租金只够支付地产税的建筑物 
sealed	1.v. 封闭；盖印（seal的过去分词） 2.adj. 密封的；未知的 
queue	1.n. 队列；长队；辫子 2.vt. 将…梳成辫子；使…排队 3.vi. 排队；排队等候 
bubbles	1.n. 泡沫；气泡（bubble的复数） 2.v. 沸腾；冒泡；发出气泡声（bubble的第三人称单数形式） 
overdue	1.adj. 过期的；迟到的；未兑的 
depressed	1.adj. 沮丧的；萧条的；压低的 2.v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低 
pledging	1.n. 保证；抵押；抵押物，典当物 2.v. 保证（pledge的ing形式）；抵押；向…祝酒 
survivors	1.n. 幸存者（survivor的复数） 
foolish	1.adj. 愚蠢的；傻的 
passive	1.n. 被动语态 2.adj. 被动的，消极的；被动语态的 
hurting	1.v. 伤害；伤心；弄痛（hurt的ing形式） 2.adj. 受伤害的；受损的 
Uruguay	1.n. 乌拉圭（拉丁美洲国家） 
navigate	1.vi. 航行，航空 2.vt. 驾驶，操纵；使通过；航行于 
prefecture	1.n. 县；管区，辖区；地方官的任期 
honoured	1.光荣 
hell	1.n. 地狱；究竟（作加强语气词）；训斥；黑暗势力 2.vi. 过放荡生活；飞驰 3.int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等） 4.n. (Hell)人名；(柬)海；(西)埃利；(德、匈、捷、罗、芬、瑞典)黑尔 
forum	1.n. 论坛，讨论会；法庭；公开讨论的广场 
al-Nusra	
jurisdiction	1.n. 司法权，审判权，管辖权；权限，权力 
plummeted	1.n. [测] 铅锤，坠子 2.vi. 垂直落下；（价格、水平等）骤然下跌 
sacred	1.adj. 神的；神圣的；宗教的；庄严的 
swimming	1.n. 游泳；目眩 2.adj. 游泳的；游泳用的；善于游泳的；晕眩的 3.v. 游泳；漂浮；旋转（swim的ing形式） 
MDGs	1.联合国千年发展目标（Millennium Development Goals） 
tropical	1.adj. 热带的；热情的；酷热的 
Roosevelt	1.n. 罗斯福（姓氏，美国第26任总统） 
Tencent	1.腾讯公司 
justification	1.n. 理由；辩护；认为有理，认为正当；释罪 
loosely	1.adv. 宽松地；放荡地；轻率地 
refers	1.参考 2.查阅 3.归诸于 4.使…求助于（refer的第三人称单数） 
overtaken	1.v. 赶上，压倒（overtake的过去分词） 
FEW	1.n. 很少数 2.adj. 很少的；几乎没有的 3.pron. 很少 4.n. (Few)人名；(英)菲尤 
carmaking	
AstraZeneca	1.n. 阿斯利康（公司名） 
strictly	1.adv. 严格地；完全地；确实地 
desks	1.n. 桌子（desk的复数）；[家具] 书桌 
dispersed	1.v. 分散；传播（disperse的过去分词） 2.adj. 散布的；被分散的；被驱散的 
spiritual	1.n. 圣歌（尤指美国南部黑人的） 2.adj. 精神的，心灵的 
preserved	1.adj. 保藏的；腌制的；喝醉的 2.n. (Preserved)人名；(英)普里泽夫德 
insight	1.n. 洞察力；洞悉 2.n. (Insight)人名；(英)因赛特 
Wilson	1.n. 威尔逊（姓氏） 
impoverished	1.adj. 穷困的；用尽了的，无创造性的 2.v. 使贫困（impoverish的过去分词） 
morale	1.n. 士气，斗志 2.n. (Morale)人名；(意、西)莫拉莱 
hearings	1.n. 听证会；倾听；[生理] 听觉（hearing的复数） 
restricting	1.n. 整形，限制；扼流 2.v. 限制（restrict的ing形式） 
vastly	1.adv. 极大地；广大地；深远地 
separated	1.v. 分开；隔开（separate的过去式和过去分词） 2.adj. 分开的；分居；不在一起生活的 
fascinating	1.adj. 迷人的；吸引人的；使人神魂颠倒的 2.v. 使…着迷；使…陶醉（fascinate的ing形式） 
CCTV	1.abbr. 闭路电视（Closed Circuit Television）；中国中央电视台（China Central Television） 
high-end	1.adj. 高端的；高档的 
Opposition	1.n. 反对；反对派；在野党；敌对 
Industries	1.n. 行业，工业；实业公司（industry的复数） 
credited	1.v. 相信；记入贷方（credit的过去式和过去分词） 
desired	1.v. 渴望，要求（desire的过去分词形式） 2.adj. 渴望的；想得到的 
poetry	1.n. 诗；诗意，诗情；诗歌艺术 
abandoning	1.v. 放弃；屈服（abandon的现在分词） 
Nairobi	1.n. 内罗比（肯尼亚首都） 
flooding	1.n. 泛滥；产后出血 
relentlessly	1.adv. 残酷地，无情地 
Tikrit	1.提克里特（伊拉克城市） 
supporter	1.n. 支持者；拥护者 
Christie	1.n. 克里斯蒂（姓氏）；挪威首都奥斯陆的旧称 
cubic	1.adj. 立方体的，立方的 2.n. (Cubic)人名；(罗)库比克 
tolerant	1.adj. 宽容的；容忍的；有耐药力的 
Alberta	1.n. 亚伯达（加拿大西部的一个省） 
Peshawar	1.n. 白沙瓦（巴基斯坦北部城市） 
greeted	1.v. 迎接；问候；向…致敬（greet的过去式及过去分词形式） 
parole	1.n. 语言；誓言，诺言；释放宣言 2.vt. 有条件释放，假释；使假释出狱；宣誓后释放 
Pistorius	1.n. (Pistorius)人名；(德、捷)皮斯托留斯 
Co-operation	1.n. 合作；协作 
prescription	1.n. 药方；指示；惯例 2.adj. 凭处方方可购买的 
enhance	1.vt. 提高；加强；增加 
perks	1.n. 特权；额外津贴（perk的复数）；特别待遇 2.v. 打扮；使振作；昂首挺胸（perk的第三人称单数） 3.n. (Perks)人名；(英)珀克斯；(法)佩尔克 
corporate-tax	
professions	1.n. 行业（profession的复数形式）；职业；专业 
astonishing	1.adj. 惊人的；令人惊讶的 2.v. 使…惊讶；使…诧异（astonish的ing形式） 
trivial	1.adj. 不重要的，琐碎的；琐细的 
inconvenient	1.adj. 不便的；打扰的 
repressive	1.adj. 镇压的；压抑的；抑制的 
embedded	1.v. 嵌入（embed的过去式和过去分词形式） 2.adj. 嵌入式的；植入的；内含的 
ballots	1.n. 选举（ballot的复数）；不记名票 2.v. 投票（ballot的第三人称单数） 
pit	1.n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众 2.vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕 3.vi. 凹陷；起凹点 4.n. (Pit)人名；(东南亚国家华语)必 
defaulted	1.违约 2.在另外的可能性没有发生的情况下 3.原样的 4.默认值 
distress	1.n. 危难，不幸；贫困；悲痛 2.vt. 使悲痛；使贫困 
loopholes	1.n. 漏洞；枪眼（loophole的复数） 
Capitol	1.n. 美国国会大厦；（美国）州议会大厦 
CHICAGO	1.n. 芝加哥（美国城市名） 
Rahm	1.n. (Rahm)人名；(英、德、西、芬、瑞典)拉姆 
